"","text"
"296"," m cnnindonesia ekonomi pengamat g coreindonesia"
"297"," e faithfreedomnew status akibat corona indonesia terancam dilanda gelombang phk goo gl fb b j na ‚ faithfreedomnew"
"298"," e musuhfeodal status bang krn phk massal sistematis orang susah mewabah cepat dibanding penyebaran virus corona twitter iwanpiliang s tatus ‚ ‚Ä musuhfeodal"
"299"," e indopolitika status phk virus corona bit ly verq p ‚ via indopolitika indopolitika"
"300"," e indopolitika status phk virus‚ corona indopolitika phk virus corona ‚ ‚Ä twitter qehmr tvsk indopolitika"
"301"," e yahbangmrx status virus mengancam corona "
"302"," virus jiwasraya"
"303"," virus utang bumn"
"304"," virus karyawan phk "
"305"," virus bumn tekor mulu"
"306"," virus kkn bumn"
"307"," virus bailout uang bumn yg dirampok yahbangmrx"
"308"," e maruf status mikir gua "
"309","yg panik skrng bukn virus corona "
"310"," phk "
"311","rakyat semgsara"
"312","bahan baku "
"313","korupsi meraja rela"
"314","hukum yg adil "
"315","pemimpin yg jholim rakyatnya twitter jokowi status ‚ ‚Ä e maruf "
"316"," e kangciloqs status terpaksa phk virus corona emang parah parah erupsi gunung agung kangciloqs"
"317"," e adelsanusson status pengamat gelombang phk virus corona cnn id ‚ adelsanusson"
"318"," e vianmdbsa status terdampak corona oyo hotel phk ribu pekerja bisnis tempo co read t erdampak corona oyo hotel phk ribu pekerja xmuwlgvtbmu twitter ‚ ‚Ä vianmdbsa"
"319"," e majalahzamane status tingkat hunian hotel bali turun persen merebaknya wabah virus corona "
"320",""
"321","pemprov bali mengimbau pengusaha hotel pemutusan hubungan kerja phk "
"322",""
"323"," bit ly vwqzb ‚ via shareaholic ifttt zamane majalahza e majalahzamane"
"324"," e majalahzamane status tingkat hunian hotel bali turun persen merebaknya wabah virus corona "
"325",""
"326","pemprov bali mengimbau pengusaha hotel pemutusan hubungan kerja phk "
"327",""
"328"," bit ly vwqzb ‚ via shareaholic ifttt zamane majala e majalahzamane"
"329"," e nusantara tv status ekonomi nusantaratv industri ancam an virus corona dpr phk utm source husen ‚ ‚Ä "
"330",""
"331","virus corona covid merebak pekerja terkena dpr mengharapkan phk nusantara tv"
"332"," e detikfinance status penumpang pesawat anjlok virus corona puluhan ribu pegawai industri penerbangan terancam hengkang pekerjaannya phk "
"333"," finance detik berita ekonomi bisnis d puluhan ribu pegawai maskapai terancam phk coron detikfinance"
"334"," e topinfo id status corona platform jual mobil bekas terpaksa phk potong gaji‚ karyawan topinfo id kar ena corona platform jual mobil bekas terpaksa phk potong gaji karyawan ‚ ‚Ä e topinfo id"
"335"," e ibenk mab status phk dipicu kondisi perekonomian melambat terdampak virus corona "
"336"," finance detik berita ekonomi bisnis d ri dihantui badai phk ‚ ‚Ä ibenk mab"
"337"," e detikcom status penumpang pesawat anjlok virus corona puluhan ribu pegawai industri penerbangan terancam hengkang pekerjaannya phk "
"338",""
"339","via detikfinance finance detik berita ekonomi bisnis d puluhan ribu pegawai maskapai terancam ph detikcom"
"340"," e kabarpenumpang status dirut garuda indonesia ‚Äú phk massal ‚Äòbadai‚Äô virus corona ‚Äù kabarpenumpang dirut garuda i ndonesia phk massal badai virus corona ‚ ‚Ä indonesiagaruda viruscorona twitter g ljhtj nu e kabarpenumpang"
"341"," e merdekadotcom status akibat virus corona perusahaan ri ajukan phk ratusan karyawan terancam tutup dlvr it rrwprd ‚ merdekadotcom"
"342"," e cnnindonesia status perusahaan bintan phk karyawan dampak virus corona cnnindonesia ekonomi perusahaan bintan phk karyawan dampak virus corona utm source twitter utm medium oa utm content cnnindonesia utm campaign cmssocmed ‚ ‚Ä cnnindonesia"
"343"," e genpi co status ratusan karayawan kena phk bintan kepri imbas penyebaran virus corona genpi co berita i mbas virus corona ratusan karyawan kena phk bintan ‚ ‚Ä e genpi co"
"344"," e jurnalis selow status imbas virus corona ratusan karyawan kena phk bintan"
"345"," corona "
"346"," genpi co berita i mbas virus corona ratusan karyawan kena phk bintan ‚ ‚Ä jurnalis selow"
"347"," e radarnegeriku status imbas virus corona ratusan karyawan kena phk bintan"
"348"," corona "
"349"," genpi co berita i mbas virus corona ratusan karyawan kena phk bintan ‚ ‚Ä e radarnegeriku"
"350"," e kutanghansip status imbas virus corona ratusan karyawan kena phk bintan"
"351"," corona "
"352"," genpi co berita i mbas virus corona ratusan karyawan kena phk bintan ‚ ‚Ä e kutanghansip"
"353"," e jp radarbali status imbas virus corona ratusan karyawan kena phk bintan"
"354"," corona "
"355"," genpi co berita i mbas virus corona ratusan karyawan kena phk bintan ‚ ‚Ä e jp radarbali"
"356"," e majalahzamane status tingkat hunian hotel bali turun persen merebaknya wabah virus corona "
"357",""
"358","pemprov bali mengimbau pengusaha hotel pemutusan hubungan kerja phk "
"359",""
"360"," zamane id biz wisa ta bali terpuruk tingkat hunian e majalahzamane"
"361"," e republikaonline status legislator dampak corona menyebabkan phk republika co id berita q xb p legislator ingatkan dampak corona sebabkan phk ‚ ‚Ä republikaonline"
"362"," e denifid status temanku phk efek virus corona denifid"
"363"," e monskaaa status today is not a good day for me dr pagi dengerin cerita dampak corona yg kerasa bali kayak kakak ipar temenku phk sore dpt kabar duka rekan kerja kalteng meninggal dunia kecelakaan tn sebangau "
"364",""
"365","not a good day it is not monskaaa"
"366"," e komunikasibaik status komunikasibaik ‚ washington wabah virus corona berdampak aktivitas penerbangan dunia berpotensi phk buff ly tqoqq ‚ e komunikasibaik "
"367"," e justxdy status yg suka nyebar hoax ttg corona virus tau ga sih hei manusia kerjaan pengaruhnya pekerja adlh bs terancam dirumahkan bs phk massal kl pd nganggur lu nyalahin pemerintah lg gt coba dipake otaknya hei justxdy"
"368"," e beritacenter status perusahaan ajukan phk ratusan karyawan akibat virus corona nctzenselcaday fallin flower svtfallinflower beritacenter news pe rusahaan ajukan phk ratusan karyawan akibat virus corona html ‚ ‚Ä beritacenter"
"369"," e zayrani status kaget ah phk virus corona hajab e zayrani "
"370"," e tommbudkus status semalam ngobrol temen kondisi ekonomi global akibat corona "
"371",""
"372","x santai tom gaperlu khawatir bangkrut pengusaha pemberi kerja "
"373",""
"374","t cuk pengusaha pemberi kerja bangkrut kowe kena phk cuk "
"375",""
"376","x wtf iya nyadar "
"377",""
"378"," plot twi tommbudkus"
"379"," e cnbcindonesia status menakuti corona parah tsunami phk ri cnbcindonesia news menakuti corona parah tsunami phk ri utm source twitter utm medium oa utm content cnbcindonesia utm campaign cmssocmed ‚ ‚Ä e cnbcindonesia"
"380"," e metrobali status ancaman phk terkait corona ruang dialog pengusaha pekerja metrobali ancaman phk te rkait corona ruang dialog pengusaha pekerja ‚ ‚Ä via metrobali metrobali"
"381"," e veen status dampak corona ratusan buruh bintan phk goo gl fb ssv mt ‚ veen "
"382"," e merdekadotcom status tekan dampak virus corona garuda indonesia pilih pangkas rute dibanding phk dlvr it rrztlf ‚ merdekadotcom"
"383"," e arbiakamil status impor perusahaan merugi kena phk listrik islam disudutkan tp diam hukum tumpul keatas tp blm pembenahan penanganan virus corona tp mempersilahkan china diskon pejabat yg korupsi twitter arbiakamil"
"384"," e firdaus status ramalan rr akurat nih gejala phk "
"385",""
"386","tekan dampak virus corona garuda indonesia pilih pangkas rute dibanding phk "
"387",""
"388"," merdeka uang tekan dam virus corona garuda indonesia pilih pangkas rute dibanding phk html ‚ ‚Ä e firdaus "
"389"," e alexanderhr status corona ngga lethal bang tingkat kematiannya rendah so far jd bahaya mati corona ato pelan mati efek samping corona perekonomian melemah phk jobless dll alexanderhr "
"390"," e merdekadotcom status daftar perusahaan ajukan phk ratusan karyawan terancam tutup akibat corona dlvr it rrzxwz ‚ merdekadotcom"
"391"," e merdekadotcom status daftar perusahaan ajukan phk ratusan karyawan terancam tutup akibat corona dlvr it rrzxzk ‚ merdekadotcom"
"392"," e aizilfahriza status daftar perusahaan ajukan phk ratusan karyawan terancam tutup akibat corona merdeka ‚ m merdeka trending dafta r perusahaan ajukan phk ratusan karyawan terancam tutup akibat corona html ‚ ‚Ä aizilfahriza"
"393"," e merdekadotcom status perusahaan mengajukan phk karyawannya terdampak virus corona covid rencananya phk diberlakukan maret bit ly w wun ‚ merdekadotcom"
"394"," e belindamelanii status kesel corona ya denger berita nambah pasiennya sampe nyambung krisis ekonomi org phk kemana‚Äù berasa bebas hati‚Äù acara yg sampe dibatalin ngeselin sampe bener virus buatan belindamelanii"
"395"," e kepripediacom status akibat corona perusahaan travel bintan kepulauan riau phk ratusan karyawannya sepi wisatawan kepripediaje kumparan kepripedia rat usan karyawan travel bintan phk akibat covid szumxqwij ‚ ‚Ä e kepripediacom"
"396"," e williamhandello status segini kerjaan sibuk pengen resign "
"397",""
"398"," corona kerjaan sepi sampe khawatir phk perusahaan williamhandello"
"399"," e prasetycio status bau busuk nih v"
"400"," simulation yah berandai "
"401"," ramai corona klo pergolakan politik akibat ekonomi down"
"402"," corona mewabah yg demo protes ya "
"403","mahasiswa ngumpet diperpus dingin ber wifi"
"404","buruh korban phk gk mending ngoj prasetycio"
"405"," e cnbcindonesia status menakuti corona orang phk ri cnbcindonesia news menakuti corona orang phk ri utm source twitter utm medium oa utm content cnbcindonesia utm campaign cmssocmed ‚ ‚Ä e cnbcindonesia"
"406"," e akbartride status headline menerus muncul "
"407"," virus corona covid "
"408"," pro kontra omnibus law "
"409"," phk aice "
"410"," kenaikan biaya bpjs kesehatan dibatalkan ma "
"411"," pembunuhan yg perempuan anak berusia "
"412"," serie a resmi ditunda "
"413"," digimon last evolution akbartride"
"414"," e glngstr status emang rejekinya phk pabrik china berhenti produksi virus corona glngstr"
"415"," e bil lubis status menakuti corona orang phk ri"
"416",""
"417"," cnbcindonesia news menakuti corona orang phk ri ‚ ‚Ä e bil lubis"
"418"," e cnbcindonesia status dampak corona phk pengusaha merapat jokowi cnbcindonesia news dampak corona phk pengusaha merapat jokowi utm source twitter utm medium oa utm content cnbcindonesia utm campaign cmssocmed ‚ ‚Ä e cnbcindonesia"
"419"," e badriprayitno status masuk ranah phk ngeri dampak corona semoga membaik badriprayitno"
"420"," e awanxbaia status dampak corona phk pengusaha merapat jokowi cnbcindonesia news dampak corona phk pengusaha merapat jokowi utm source notifikasi utm campaign browser utm medium mobile ‚ ‚Ä awanxbaia"
"421"," e bisbannews status corona indonesia bertambah mendorong phk bisnisbandung cor ona indonesia bertambah mendorong phk ‚ ‚Ä twitter t f edzue bisbannews"
"422"," e bandungtv status corona indonesia bertambah mendorong phk bisnisbandung cor ona indonesia bertambah mendorong phk ‚ ‚Ä twitter ibaqregwi bandungtv "
"423"," e amaliaynm status team takut phk virus corona e amaliaynm"
"424"," e salmabrecht status khawatir virus corona dampak kerusakan ekonomi virus corona bursa saham jatuh "
"425","pabrik menurunkan produksi tutup "
"426"," phk dimana "
"427","bisnis pusat wisata terancam gulung tikar bandara sepi dll e salmabrecht"
"428"," e cnnindonesia status rugi virus corona sxsw phk sepertiga staf cnnindonesia hiburan rugi virus corona sxsw phk sepertiga staf utm source twitter utm medium oa utm content cnnindonesia utm campaign cmssocmed ‚ ‚Ä cnnindonesia"
"429"," e kurnia sari status lihat efek corona perekomian indonesia orang yg mengerti bisnis sdh pasang pondasi perusahan bahan baku china semoga bln kedepan perusahan phk an kurnia sari "
"430"," e kumparan status kamar dagang industri kadin perusahaan merumahkan phk akibat merebaknya virus corona kumparan kumparanbisnis kadin pastikan phk akibat virus corona t j khoksb utm medium post utm source twitter utm camp e kumparan"
"431"," e pindainews status hotel jabar phk karyawan virus corona "
"432","selengkapnya pindainews berita d ampak covid hotel jabar phk karyawan ‚ ‚Ä "
"433",""
"434"," viruscorona viral viruscinta covid covid indonesia indonesia rabuambyar jokowi e pindainews"
"435"," e bikubils status makhluk makhluk individualis suka nyinyir yg aksi giliran tuntutan dipenuhin enak klo yg nuntut phk trus ngetawain biar corona yg bales e bikubils"
"436"," e andi chairil status pemerintah jokowi prl lbh peka gesit antisipasi ‚Äî virus corona kelesuan ekonomi potensi karlahuta phk efek omnibus law ‚Äòkehebohan‚Äô sandang krn ramadhan cuaca lupakan dl kota kspgoid kemensetnegri setk andi chairil"
"437"," e amranal status rugi virus corona sxsw phk sepertiga staf cnn id ‚ e amranal "
"438"," e narendra ahsan status gegara corona perusahaan ajukan phk ratusan karyawan baca selengkapnya m jpnn news gegara co rona perusahaan ajukan phk ratusan karyawan ‚ ‚Ä e narendra ahsan"
"439"," e kumparan status mengklaim phk pekerja kadin mengakui karyawan dirumahkan perlambatan ekonomi dipicu virus corona kumparan kumparanbisnis cegah phk virus corona kadin pemerintah insentif t mflqsys utm medium post e kumparan"
"440"," e ekadnovitasari status beneran corona yg keancem pengangguran pabrik gadapet bahan produksi china ya bangkrut trs pegawainya keancem phk ekadnovitasari"
"441"," e liongkytan status gw sih paid leave klo sampe karyawan kena corona phk imagine the massive backlash twitter anggaputraf st atus ‚ ‚Ä liongkytan"
"442"," e balschology status resesi ekonomi keliatan tp virus corona memicu percepatan resesi emang ekonomi global lg slow down negara kena imbasnya sektor kena imbasnya ekspor impor penurunan devisa negara phk balschology"
"443"," e donisuprapto status kawatir corona pikirkan uang pesangon habis phk cari kerja besok anak istri makan yg kawatirkan e donisuprapto "
"444"," e robysatriani status kasian ya dampak virus corona yg kena phk pantesan menkeu sampe khawatir gtu robysatriani"
"445"," e panggilakucikk status hotel tmn ku kerja karyawan liburin harian gaji uga blm turun "
"446","alesannya ya corona turis cancel carantina rate hotel bali down "
"447","karyawan yg liburin blm jls statusnya phk e panggilakucikk"
"448"," e awkar status ngeliat dampak corona hrdbacot ngerasa ku setungir doang gaada dibanding yg kehilangan pekerjaan phk ga digaji dll semoga tetep semangat e awkar "
"449"," e noviaherdian status phk corona kabar masi cari kerja noviaherdian"
"450"," e hildawardani status sisi jg dampak ekonomi penyebaran virus corona phk dimana pasar yg anjlok yg berasa lingkup pariwisata tp merembet sektor memakan korban terinfeksi corona jg makan korban karyawan phk hildawardani "
"451"," e hildawardani status pemilik karyawan agent travel yg rugikan efeknya yg phk cuti bergaji jg gamau kena corona tp jg gamau kehilangan penghasilan dampak ditutupnya akses negara hildawardani "
"452"," e irfan pwe status denger dr customer industri hotel bali "
"453"," emang penurunan income sampe gegara corona "
"454"," keknya wajar deh perusahaan perhotelan phk karyawan irfan pwe"
"455"," e mhmfikri status ya banjir"
"456","ya corona "
"457","ya dbd"
"458","ya gempa"
"459","ya longsor"
"460","ya puting beliung"
"461","ya phk "
"462","ya shock demo buruh"
"463","ya panic buying"
"464","ya opera dagelan bodoh pejabat"
"465","ya opera opera "
"466","ya perubahan ya "
"467",""
"468","abdul aziz hablil fb mhmfikri"
"469"," e cheeseburgerssz status drtd overthinking dampak corona ekonomi dr kmrn harga brg udh mahal takut smp crisis moneter corona kegiatan ekspor impor pariwisata berkurang org yg kerja bidang bnyk yg dirumahkan phk phk massal income masyarakat berkurang l e cheeseburgerssz"
"470"," e topbangettt status yaampun bener bgt bbrpa yg bapa jg bilang karyawan dikantornya kena phk dampak corona bapa sampe maaf nnt trjd sm bapa ya allah naudzubillahhimin‚Äôzalik semoga membaikkk e topbangettt"
"471"," e sarashaniii status bacain reply temen yaallah sedih yg ngerasain dampak virus perlahan ekonomi dampak panjangnya phk jualan susah corona udh masuk indo domestikan susahnya amit stay strong guys sarashaniii"
"472"," e instantkharma status tetiba malam bersosialisasi dng tetangga komplek "
"473",""
"474","resumenya "
"475",""
"476"," kerabat kena phk krn pabrik lesu "
"477",""
"478"," menyalahkan corona "
"479"," ngik e instantkharma"
"480"," e dindapuspamlt status ya bener banget virus corona dampaknya gede bgt sektor hotel pariwisata yg phk dirumahkan dibayar grgr twitter trans status ‚ ‚Ä dindapuspamlt"
"481"," e spn or id status phk corona spn or id phk corona ‚ twitter khszsnrqny e spn or id"
"482"," e leobudisuryanto status bursa saham dah krisis "
"483",""
"484"," krisis bursa saham diikuti krisis "
"485",""
"486"," corona global efek domino banget "
"487",""
"488","bahan baku kosong pabrik ga jalan ekonomi slow down phk dst leobudisuryanto"
"489"," e vivieckjalu status akibat virus corona bisnis kayak travel agent hotel pariwisata angkutan ojek online kena dampaknya semoga ga phk sayang banget bentar thr vivieckjalu"
"490"," e bobby paribowo status menakuti corona orang phk ri detik id vync a ‚ bobby paribowo"
"491"," e matanajwa status mata najwa corona part "
"492"," bit ly mnpart garagar acorona ‚ ‚Ä "
"493",""
"494"," corona perusahaan manufaktur mengandalkan bahan baku china terancam setop produksi hotel sepi berpotensi phk pekerjanya matanajwagaragaracorona matanajwa"
"495"," e narasitv status mata najwa corona part "
"496"," bit ly part mngaragar acorona ‚ ‚Ä "
"497",""
"498"," corona perusahaan manufaktur mengandalkan bahan baku china terancam setop produksi hotel sepi berpotensi phk pekerjanya matanajwagaragaracorona e narasitv"
"499"," e gadisresidu b status kawatir virus corona dampak kerusakan ekonomi akibat virus corona "
"500","bursa saham jatuh pabrik menurunkan produksinya tutup "
"501"," phk dimana e gadisresidu b "
"502"," e latamau status senasib nggak menunda gegara corona "
"503",""
"504","ntah rencana liburan nikah sekolah apapun "
"505","tp ku musti tetep syukur sih mending menunda rencana kena phk masal ye "
"506",""
"507"," coronavirusoutbreak latamau "
"508"," e baagus satria status pengamat memprediksi resensi ekonomi tp bareng corona perusahaan muter otak ni saham mlorot phk sudsh terfikir baagus satria"
"509"," e kumparan status wabah corona mereda kadin jateng perkirakan phk massal april perusahaan tekstil farmasi publisherstory kumparan panturapost ka din jateng kondisi membaik wabah corona ancam phk massal t io yhaim utm medi e kumparan"
"510"," e kabar status gegara corona perusahaan ajukan phk ratusan karyawan antarkabarid wordpress geg ara corona perusahaan ajukan phk ratusan karyawan ‚ ‚Ä twitter ehpany ugo kabar"
"511"," e plrkprt status i really have no problems the govt trying to help the tourism industry as scary as corona pandemic would be phk and gajian will be much scarier for those who works in hospitality sector plrkprt"
"512"," e raflatahearts status null virus corona sxsw rugi karyawan kena phk dampak virus corona lan hot detik read virus corona sxsw rugi karyawan kena phk ‚ ‚Ä raflatahearts"
"513"," e chibiess status null virus corona sxsw rugi karyawan kena phk dampak virus corona lan hot detik read virus corona sxsw rugi karyawan kena phk ‚ ‚Ä chibiess"
"514"," e detikcom status pengusaha hotel memangkas biaya pegawai imbas penyebaran virus corona phk phk "
"515",""
"516","via detikfinance finance detik berita ekonomi bisnis d biaya pegawai hotel dipangkas corona phk utm content detikfinance utm term echobox utm m detikcom"
"517"," e detikfinance status pengusaha hotel memangkas biaya pegawai imbas penyebaran virus corona phk phk finance detik berita ekonomi bisnis d biaya pegawai hotel dipangkas corona phk utm content detikfinance utm term echobox utm medium oa utm campaig detikfinance"
"518"," e topinfo id status virus corona sxsw rugi karyawan kena phk topinfo id vir us corona sxsw rugi karyawan kena phk ‚ ‚Ä e topinfo id"
"519"," e merdekadotcom status penjelasan pengusaha phk pegawai hotel restoran akibat virus corona dlvr it rrl dd ‚ merdekadotcom"
"520"," e hukumdan status situasi nilai tukar rupiah phk karyawan bahan baku mahal bayar pake dollar pajak impor "
"521","virus corona tekan rupiah rp dolar as"
"522"," m cnnindonesia ekonomi virus corona tekan rupiah rp hukumdan"
"523"," e cnnindonesia status jokowi percepat uji kartu prakerja korban phk corona cnnindonesia ekonomi jokowi percepat uji kartu prakerja korban phk corona utm source twitter utm medium oa utm content cnnindonesia utm campaign cmssocmed ‚ ‚Ä cnnindonesia"
"524"," e zigzag status phk corona "
"525","wkwkwkkk ae ngeles lu jaee "
"526"," rezimjualanaset twitter cnnindonesia s tatus ‚ ‚Ä e zigzag "
"527"," e doncorleone status presiden mempercepat uji coba program‚ kartu prakerja‚ meredam dampak tekanan ekonomi akibat wabah‚ virus corona ‚ covid utk menampung pekerja yg terkena phk akibat penurunan aktivitas industri corona menyerang "
"528"," m cnnindonesia e doncorleone "
"529"," e dondihananto status company yg mmg sdh berat bisnisnya berat resesi akibat corona phk massal"
"530",""
"531"," is a pretty number but as a year it ll be memorable in a bad way dondihananto"
"532"," e agungwr status ga nyangka dampak corona "
"533"," phk pabrik garment "
"534"," btc burnout cukong help "
"535"," liga sepakbola dunia dihentikan"
"536",""
"537","semoga dunia lekas pulih e agungwr "
"538"," e katadatacoid status pemerintah mempercepat keluarnya kartu pra kerja mencegah munculnya phk akibat dampak virus corona "
"539",""
"540"," katadata co id berita cegah phk dampak corona pemerintah kebut peluncuran kartu pra kerja ‚ ‚Ä katadatacoid"
"541"," e y ez status sekretaris‚ kemenko‚ perekonomian‚ susiwijono‚ daerah dipilih pemerintah lokasi prioritas program paling‚ terdampak‚ wabah virus corona alasi‚ covid berdampak phk sektor wisata bali manado kepulauan riau "
"542"," cnbcindonesia e y ez "
"543"," e kontannews status klaim pengangguran as mingguan turun muncul phk akibat efek virus corona internasional kontan co id news klaim pen gangguran as mingguan turun muncul phk akibat efek virus corona ‚ ‚Ä kontannews"
"544"," e hukumdan status berfikir andalkan "
"545"," tau phk disebabkan korban virus corona pemikiran presiden koq pola pikirnya rada aneh rupiah terpuruk phk "
"546"," mikir "
"547"," m cnnindonesia ekonomi hukumdan"
"548"," e detikfinance status industri pariwisata sektor merana mewabahnya virus corona hotel restoran phk finance detik berita ekonomi bisnis d insentif bebas pajak hotel restoran berlaku april utm detikfinance"
"549"," e albertsolo status hotel cafe bali terpaksa merumahkan karyawannya bhakan phk sepinya pengunjung pulau bali akibat dampak virus corona covid e albertsolo "
"550"," e ibf status berfikir andalkan "
"551"," tau phk disebabkan korban virus corona pemikiran presiden koq pola pikirnya rada aneh rupiah terpuruk phk "
"552"," mikir jok "
"553"," bangsatbangsa m cnnindon e ibf "
"554"," e bellaissabella status gegara corona perjalanan sepi gini kayanya kena phk "
"555","tuhan apapun yg dihidup pasrah bellaissabella"
"556"," e jatra status nunggu phk corona klo klo ga ga kartu prakerjanya pinter banget ngeles bilang ga utang batal kartu prakerjanya lbh masuk akal cebong asu ga protes e jatra"
"557"," e wow keren status khawatir jokowi percepat uji kartu prakerja korban phk corona wowkeren berita tampil html ‚ ‚Ä twitter gkb uwbpyw wow keren"
"558"," e felysiaagustin status jujur liat dampak virus corona perkara penularannya doang tp gw serem liat dampak ekonomi baca banget kemarin yg terancam phk suruh cuti dibayar "
"559",""
"560","semoga pulih felysiaagustin"
"561"," e hendryawann status imbasnya produksi macet pemasukan turun phk karyawan ga lsg bgt org yg khilangan pekerjaan corona ironisnya media lokal internasional an mem blow up seakan virus berbahaya e hendryawann "
"562"," e osoekaryo status hancur "
"563"," mata uang dunia"
"564"," komoditas"
"565"," minyak"
"566"," emas"
"567"," pariwisata"
"568"," hotel"
"569"," penerbangan"
"570"," produksi barang"
"571"," ekspor impor"
"572",""
"573","hancur corona "
"574"," "
"575","kebangkrutan usaha didepan mata phk menghantui daya beli merosot"
"576",""
"577","solusinya khilafah kadrun e osoekaryo"
"578"," e bobby paribowo status puluhan ribu pegawai maskapai terancam phk corona detik id sdr r ‚ bobby paribowo"
"579"," e villamutiara status negeri kerja tntang corona indo klo nimbun masker modus petugas biar rampok dibayar pegawai swasta phk rumahkan gaji indooo villamutiara"
"580"," e fauzia fatchan status semalam pemerintah membebaskan pembayaran pph bpjs ketenagakerjaan aq nangis we re totally fucked up shockwave corona adl gelombang phk fauzia fatchan"
"581"," e overdoziz status nungguin pandemic corona kelar "
"582","kasian kena phk bidang perhotelan overdoziz"
"583"," e mariskaestel status kerja start up yg wow bbrp start up udh efisiensi krn ngejar profit bnyk yg kena cut "
"584","krj bidang aviasi jd pramugari yg notabene ga mgk manusia tuh berhenti travel look what corona did to aviation industry n udh bnyk yg potong gaji bhkan phk krn kerugian mariskaestel"
"585"," e yandearga status udh kerasa bgt efek corona hospitality hotel resort notabene ‚Äústabil‚Äù skrg udh closed sumpa kaget dengernya "
"586",""
"587","hotel‚Äù tetangga udh memberlakukan upl salary cut phk amit‚Äù dengerinnya lemes pas blg thr dipotong e yandearga"
"588"," e mbdevyy status manusia parno penyakit takut bgt sm corona pilek mikir kemana "
"589"," disisi denger kabar wisata phk an "
"590","sedih gatau setuju mbdevyy"
"591"," e rifkihaiqal status gua cuman takut phk dimana corona rifkihaiqal"
"592"," e radeakanta status lulus kerja perusahaan phk karyawan virus corona radeakanta"
"593"," e somastha status media bertanggung sebarkan corona seram berdampak melemahnya ekonomi banyaknya phk masal orang akademisi panik isu suspect somastha"
"594"," e incess juli status jd si corona tp emg setahun blkgn dollar ga angka rb mulu nder tp daerah gw yg bbrp phk masssal corona e incess juli "
"595"," e steffnoya status efek corona ngeri pikiran ekonomi melemah daya beli menurun puncaknya phk boros boros guys stay strong in god steffnoya"
"596"," e muzakir status corona penjualan menurun akibatnya phk "
"597",""
"598","paham tong hubungannya "
"599","jokowi pintar lho muzakir "
"600"," e sayanknanda status hkg virus sars jg bahaya dengn virus corona tp msh dibilang corona bahaya krn dibumbui berita hoax canggih internet klo ngaruh buktinya mjkan klo yg phk krn ketakutan e sayanknanda"
"601"," e bulugambrisss status ade gua kerja blm kali kerja lulus terancam phk kerja sepi pengunjung virus corona tempatnya buka bulugambrisss"
"602"," e aqumatcha status kantor ayahku phk corona e aqumatcha"
"603"," e squirtle status terinfeksi virus corona dimana sepi ditempat hiburan tutup gaji phk perusahaan merugi krisis moneter terulang squirtle "
"604"," e etaenity status indeed we need transparency but there are lot of aspects to consider efek corona ngaruh bgt bisnis ekonomi negara wktu indo blm ad efek bisnis udh kerasa bgt karyawan phk dipaksa unpaid leave sk shows good example but not every country is ready for tha etaenity"
"605"," e wahyu djanti status bicara spt dsaat petugas medis berjibaku salah bicara phk salah analisa maki salah handle pasien corona terinfeksi e wahyu djanti "
"606"," e dpwnasdemdki status ‚Äú pengurangan phk karyawan bersatu melawan corona cari untung kemanusiaan ‚Äù "
"607"," workingfromhome dpwnasdemdki"
"608"," e ajijenderal status jokowi daerah jgn dilockdown sop disosialisasikan byk pekerjaan yg off bbrp pekerjaan sdh dirumahkan krn corona blm lgi ancaman phk kmi makan klo jakarta lockdown biar hidup mati rejeki sdh yg nentuin lilahitaala ajijenderal"
"609"," e navirimag status terdampak wabah corona bisnis pariwisata sepi ratusan pekerja terancam phk "
"610"," naviri org wabah corona bisnis pariwisata html ‚ ‚Ä navirimag"
"611"," e dewiitnayus status rencana phk pemotongan gaji dampak libur perusahaan virus corona makan kenyataan sial apes bgt jd budak korporat dewiitnayus"
"612"," e den hisan status membendung tagihan kebutuhan lbh sulit drpd corona kt tmn yg kena phk den hisan"
"613"," e wahyusamadi status pariwisata down "
"614","club club gigit jari menganak tirikan wisatawan lokal"
"615","kariyawan kena phk akibat corona sih pengurangan pegawai sepi "
"616","dasar corona comunita rondo merana e wahyusamadi"
"617"," e milapraw status himbauan pekerja budak korporat kerja rumah wfh gitu orang kantoran jakarta mah kudu kantor gitu krn virus corona dimana "
"618"," gua dah alamat kena phk repot wfh wfh "
"619",""
"620","siyalaannn milapraw"
"621"," e gatauuakupusing status lockdown takut phk perusahaan ku bidang pariwisata berdampak pendapatan kantor turun berdoa corona mereda aamin e gatauuakupusing"
"622"," e kresnawep status ratusan buruh pabrik terkena phk terjangkit virus corona orang panik membeli hasil produksi pabrik pabrik keuntungan sanggup menggaji ratusan buruh phk kresnawep"
"623"," e charles cor status kawatir virus corona dampak kerusakan ekonomi akibat virus corona "
"624",""
"625","bursa saham jatuh pabrik menurunkan produksinya tutup "
"626",""
"627"," phk dimana "
"628",""
"629","bisnis pusat wisata terancam gulung t charles cor"
"630"," e taufan tmr status ga takut corona emang jatahnya mati ya mati takutkan azubi indonesia phk hotel jarang pelanggan fuck taufan tmr"
"631"," e jansuspendbgst status masi org ga da kerjaan abis phk gegara kenak corona kali ye e jansuspendbgst"
"632"," e fauziizwar status ya allah takut banget virus corona semoga karyawan pabrik gada kena kena diisolasi minggu gimana status kerjanya huhu"
"633",""
"634"," iya phk sehat sehat yarabb e fauziizwar"
